,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
18937,ABCC4,-1.534842732,-0.618090837,7.658393967,6.29177e-05,0.003555387,0,0
18938,KLF11,1.13799986,0.186500381,4.748536641,0.171749442,0.386446013,0,0
18939,KLF12,1.298903183,0.3772939,8.054718393,0.032702947,0.148068278,0,0
18940,ABCC1,1.021041645,0.03004171,4.506631351,0.876774377,0.946707628,0,0
18941,MEF2C-AS1,1.09550803,0.131600059,5.413096578,0.657541905,0.819772049,0,0
18942,KLF13,1.023085002,0.032926015,3.009958505,0.872353515,0.945233284,0,0
18943,TRAV4,1.581350533,0.661157201,-0.923940372,0.041680698,0.169506923,0,0
18944,AQP12B,-1.833703278,-0.874760207,-1.907361903,0.149855376,0.357476736,0,0
18945,ABCC5,-1.1091136,-0.149407139,7.370900634,0.576335774,0.763137961,0,0
18946,ABCC6,-1.826122596,-0.868783624,1.738650668,0.000862906,0.018331418,0,0
18947,TWNK,1.454613088,0.540635462,2.820688604,0.00281313,0.037391186,0,0
18948,TRAV5,1.813592259,0.858850138,-1.341793451,0.009394096,0.073075149,0,0
18949,LOC101928626,1.25154733,0.323712851,6.915365147,0.283443127,0.514685123,0,0
18950,IRF1-AS1,-1.095888569,-0.132101111,6.23656787,0.405919926,0.630136982,0,0
18951,SDAD1-AS1,1.073321759,0.10208263,-2.264278771,0.92214632,0.968571955,0,0
18952,ABCC9,1.122759222,0.167048573,6.392934426,0.547146458,0.743559949,0,0
18953,KLF14,-1.194075009,-0.255893466,-2.058130644,0.594582982,0.776897349,0,0
18954,KLF15,-1.567908553,-0.648841418,3.598802209,0.011479279,0.080653271,0,0
18955,LOC101929950,-1.243926903,-0.314901711,-0.227183636,0.051995046,0.193773887,0,0
18956,KLF16,1.195426547,0.257525486,3.485238632,0.120643896,0.315788113,0,0
18957,TGFBR1,1.133125221,0.180307302,7.18558847,0.165390149,0.378511944,1.0,1.0
18958,KLF17,-1.176695969,-0.234741609,2.501746254,0.320372446,0.553294293,0,0
18959,TGFBR2,-1.054177395,-0.076117662,8.342590426,0.60858347,0.78716928,0,1.0
18960,TGFBR3,-1.086485534,-0.119668965,6.320833675,0.537566798,0.736632249,0,0
18961,DDX19A,-1.002895435,-0.004171194,5.06806851,0.952291073,0.983938045,0,0
18962,DDX19B,-1.093936168,-0.129528558,2.880869223,0.243861832,0.472623045,0,0
18963,B4GALT6,1.168622975,0.224809557,4.082143872,0.3100524,0.54222431,0,0
18964,B4GALT7,-1.113993389,-0.155740671,4.393110703,0.138844022,0.34207541,0,0
18965,B4GALT4,1.341222309,0.423548385,4.587778657,0.054231753,0.199733535,0,0
18966,CILK1,1.006963589,0.010011517,6.089556478,0.956289202,0.98487231,0,0
18967,LOC101929963,1.178925218,0.237472207,-0.156983567,0.509716492,0.716603126,0,0
18968,TM2D2,1.509909235,0.594461827,4.618754462,0.000526633,0.013590966,0,0
18969,LOC105369902,2.446841445,1.290920618,-1.84416699,0.029875077,0.140667312,0,0
18970,ZNF195,-1.015121445,-0.021652337,5.652926424,0.830477647,0.923749333,0,0
18971,LOC105369901,1.264092875,0.338102464,1.045579409,0.131571327,0.33208873,0,0
18972,TM2D1,-1.053146803,-0.074706555,6.123767631,0.2426189,0.471506004,0,0
18973,TM2D3,1.023231689,0.033132849,4.696865843,0.743856549,0.875713978,0,0
18974,LOC101928631,-1.123121558,-0.167514082,1.116986138,0.208566917,0.431753154,0,0
18975,LOC101927300,1.079226058,0.109997087,2.191341937,0.432571751,0.653633134,0,0
18976,IWS1,1.002550284,0.003674598,6.65996378,0.963972888,0.988942528,0,0
18977,SNRPA1P1,1.464208849,0.550121349,0.108924525,0.001302333,0.023258633,0,0
18978,RMND5B,-1.104483526,-0.1433719,4.78624484,0.137370169,0.340038449,0,0
18979,RMND5A,1.087961221,0.121627134,6.36994323,0.358559177,0.587684048,0,0
18980,STOM,-1.19722826,-0.259698239,7.955997546,0.11805969,0.311912326,0,0
18981,ABCF3,1.207443744,0.271955975,5.111875857,0.053500353,0.197817813,0,0
18982,LEKR1,-1.111140189,-0.152040849,5.120491884,0.397221348,0.62228631,0,0
18983,ABCF1,1.910072665,0.933627524,-2.274426419,0.155269198,0.365367542,0,0
18984,MUTYH,1.054625513,0.076730804,3.240167093,0.480377847,0.693902502,0,0
18985,ZNF189,-1.03940949,-0.055764136,5.232730212,0.524877383,0.728135294,0,0
18986,LOC101929977,1.429005408,0.515011376,0.982323751,0.014977551,0.094690239,0,0
18987,C2orf49-DT,1.113787289,0.155473734,1.472028241,0.235882611,0.464377955,0,0
18988,LOC101927314,-1.126686924,-0.172086686,1.931635092,0.479446153,0.693292902,0,0
18989,LOC101929976,-1.362346486,-0.446093671,1.416193413,0.014716479,0.093670312,0,0
18990,LOC105369915,1.262937458,0.336783197,-0.231474354,0.115032257,0.307115008,0,0
18991,STN1,-1.069771446,-0.097302602,5.682699927,0.410019232,0.633171189,0,0
18992,ZNF184,1.038496931,0.054496953,4.721973978,0.503927883,0.712160462,0,0
18993,TRAT1,1.568320845,0.649220735,3.52521107,0.018148057,0.105152523,0,0
18994,BAD,1.203307144,0.267004938,2.610000115,0.176014635,0.391775814,1.0,1.0
18995,LOC105369911,-1.047424415,-0.066846139,2.398879725,0.675726276,0.831586062,0,0
18996,TCAF1P1,-1.101641834,-0.139655251,-1.005510502,0.634981158,0.80478322,0,0
18997,LRRC37A11P,-1.889823198,-0.91825127,-0.850179369,0.010196912,0.075788997,0,0
18998,H3-2,1.51117045,0.595666396,-0.568047192,0.052549451,0.195251368,0,0
18999,H3-5,1.26580122,0.340050864,0.817619784,0.131634834,0.332095935,0,0
19000,CLK2P1,1.183141695,0.242622863,-1.394182281,0.384063812,0.610080732,0,0
19001,AQP11,-1.159068611,-0.212965969,3.661009054,0.134966059,0.336735931,0,0
19002,ABCE1,1.068620336,0.095749377,6.437907185,0.423573336,0.645742855,0,0
19003,KCNA4,-2.345241273,-1.229736352,-0.754191988,0.000929161,0.019263042,0,0
19004,KCNH6,-7.676962464,-2.940535594,0.238687897,0.0,1.20464e-09,0,0
19005,KCNH7,-3.654662722,-1.86973827,4.147994224,2.2951e-05,0.00185409,0,0
19006,KCNK5,-2.006620041,-1.004767464,5.869674057,4.84346e-05,0.002965757,0,0
19007,LOC102723670,-2.104139881,-1.073230617,0.459959256,0.001358288,0.023917917,0,0
19008,LOC102724938,-4.296084082,-2.10302223,-1.03569976,1.97346e-07,4.87888e-05,0,0
19009,PEX5L,-4.261524064,-2.091369479,3.200891746,1.74399e-10,1.0779e-07,0,0
19010,LOC101927815,-2.809332004,-1.490227131,-1.391668479,0.003447931,0.041836304,0,0
19011,LOC105376360,-2.52587256,-1.336781852,2.844304931,0.001183459,0.022060755,0,0
19012,LOC105377685,-2.392151733,-1.258308902,1.284718408,1.0806e-06,0.000189969,0,0
19013,CGA,-10.22826819,-3.354489989,-1.177291256,3.50446e-06,0.000450072,0,0
19014,C1orf127,-2.144077816,-1.100357267,0.753285773,1.58113e-06,0.000260597,0,0
19015,IL1R2,-3.076760396,-1.621412097,3.82441668,7.39177e-06,0.000796654,0,0
19016,MT1JP,-3.128304935,-1.645381148,-1.854482795,0.000442652,0.012025005,0,0
19017,LOC105377781,-6.148739694,-2.620290732,-0.987195362,1.54354e-05,0.00136612,0,0
19018,LOC105375156,-3.77431075,-1.916213209,-1.638752209,0.002771303,0.036984363,0,0
19019,LOC105375155,-3.897409148,-1.962515393,-1.833295546,0.003397448,0.041523991,0,0
19020,LOC105375103,-4.135193382,-2.047954799,-0.014892357,0.001136425,0.021611735,0,0
19021,ATP13A5,-2.579464696,-1.367071701,4.652186565,0.000502237,0.013104552,0,0
19022,LOC105375101,-3.449440732,-1.786362473,2.074023074,0.00075748,0.017005042,0,0
19023,EMP1,-2.008912721,-1.006414886,7.644711143,2.32243e-05,0.00185409,0,0
19024,FAM13A,-2.324806981,-1.21711094,8.615336862,0.0,6.60947e-08,0,0
19025,LOC100289238,-2.753413666,-1.461221373,-0.058140227,0.00012519,0.005465783,0,0
19026,COL28A1,-2.245620534,-1.167114161,6.035653761,1.63078e-05,0.00141463,0,0
19027,LOC339166,-4.226727531,-2.079541115,1.133389343,6.3717e-06,0.000720111,0,0
19028,TMEM72-AS1,-2.147620016,-1.102738756,4.73154452,3.65024e-07,7.84722e-05,0,0
19029,MST1L,-2.074102859,-1.052487442,2.748145018,0.001300198,0.023258633,0,0
19030,RTL1,-2.322982086,-1.215978028,1.153242351,0.000796932,0.017537494,0,0
19031,LOC101927668,-2.502325996,-1.323269752,5.619402604,3.82804e-09,1.68117e-06,0,0
19032,LOC105375224,-4.473058332,-2.161261572,-1.827557715,0.000191738,0.007022582,0,0
19033,LOC105377885,-3.003871458,-1.586823078,2.235917563,0.000174105,0.006647593,0,0
19034,MEG3,-3.136616404,-1.649209104,5.847503127,1.79397e-06,0.000286139,0,0
19035,MEG8,-2.505116883,-1.324877918,5.309834947,7.6058e-05,0.004087705,0,0
19036,MEG9,-3.181660105,-1.669779722,-0.782461616,0.000122901,0.005389666,0,0
19037,USP38-DT,-2.186885464,-1.128877662,2.110037186,2.69166e-05,0.001957196,0,0
19038,DLK1,-7.429469109,-2.893259123,0.073111613,0.000121091,0.005369811,0,0
19039,LOC102724557,-2.941256235,-1.556432474,2.823649678,0.00308993,0.03938415,0,0
19040,AGXT2,-4.518869369,-2.175961852,-0.149266415,2.64118e-08,9.67358e-06,0,0
19041,NTRK3,-2.85062282,-1.511277162,4.431111977,2.31151e-05,0.00185409,0,0
19042,LOC340357,-5.98254648,-2.5807597,-2.303998345,1.1863e-05,0.001167294,0,0
19043,SYT4,-65.95763263,-6.043467713,1.674256573,0.0,0.0,0,0
19044,CASC16,-5.794219596,-2.534614362,2.342400572,2.95984e-09,1.33045e-06,0,0
19045,ACKR2,-2.997623131,-1.583819016,4.348547172,3.90291e-06,0.000488459,0,0
19046,GRP,-8.029983082,-3.005396948,0.497922716,0.0,4.12399e-09,0,0
19047,LOC105378673,-2.937856677,-1.554764016,-1.667477509,4.86779e-05,0.002971457,0,0
19048,LRRC52-AS1,-2.666791496,-1.415105032,3.348220776,0.000340015,0.010127733,0,0
19049,TANK-AS1,-2.04028205,-1.028768605,1.893422471,0.000885519,0.01863169,0,0
19050,LOC105378623,-2.124049292,-1.086817247,-1.584219984,0.004753852,0.049852429,0,0
19051,LRRC31,-6.114837388,-2.612314134,3.85224472,0.0,2.3262e-10,0,0
19052,LOC100128091,-2.646646898,-1.404165731,-1.910414907,0.004608151,0.049079168,0,0
19053,LOC107987123,-2.68300628,-1.423850431,-2.005755535,0.000303327,0.009359128,0,0
19054,LRRC4C,-2.477866294,-1.309098342,4.962726149,7.9094e-06,0.000832086,0,0
19055,HNF1B,-2.328326496,-1.219293379,1.011951452,0.000316556,0.009661795,0,0
19056,PRG4,-2.548974064,-1.349916694,2.24897621,2.64014e-05,0.001933952,0,0
19057,LOC105377475,-5.287379974,-2.402553009,-0.122611546,0.0,3.54153e-08,0,0
19058,LOC105377476,-4.716173865,-2.237616905,-0.328430508,0.0,3.54153e-08,0,0
19059,LOC105377473,-9.766481749,-3.287838943,0.536735888,0.0,0.0,0,0
19060,ITPRID1,-5.731613231,-2.51894126,4.43998549,1.48802e-09,7.35749e-07,0,0
19061,LOC117779438,-2.191855544,-1.13215272,3.067687872,0.004679912,0.049286103,0,0
19062,LOC107987087,-3.63642919,-1.862522484,4.116745802,7.46788e-07,0.000141603,0,0
19063,LOC105377406,-3.078941241,-1.622434335,1.884597252,0.000165549,0.006429554,0,0
19064,LOC102724482,-2.392049022,-1.258246956,1.055577221,5.04559e-05,0.003033179,0,0
19065,ANKRD36C,-2.171516017,-1.118702594,8.069915463,9.85336e-07,0.000177163,0,0
19066,LOC389705,-2.776120398,-1.473070138,-0.018639845,4.22543e-06,0.000512703,0,0
19067,LCN15,-8.901939856,-3.154119754,-1.480502056,1.97396e-06,0.000302643,0,0
19068,LOC105376214,-2.783951749,-1.477134207,3.898930886,1.20192e-06,0.000204927,0,0
19069,ERBB4,-3.286123592,-1.716386741,8.870320518,3.6418e-07,7.84722e-05,1.0,1.0
19070,LOC105377527,-5.256677839,-2.394151321,0.720478674,0.0,2.3262e-10,0,0
19071,LOC105378850,-4.411741855,-2.141348377,0.086673625,2.11196e-05,0.001755055,0,0
19072,LINC00977,-2.58718232,-1.371381725,-0.762828567,8.6669e-05,0.004325637,0,0
19073,UGT2B15,-3.385589474,-1.759407047,-1.767030255,0.000494539,0.012972148,0,0
19074,ATP10B,-2.383341637,-1.252985768,6.575580164,2.43969e-05,0.001869411,0,0
19075,LOC349160,-3.183481015,-1.670605161,3.732120996,0.001459775,0.02487019,0,0
19076,SRD5A3-AS1,-2.001298736,-1.000936536,0.392877281,8.07365e-07,0.000150152,0,0
19077,TMEM63C,-2.806617185,-1.488832297,4.099897522,1.84813e-07,4.62687e-05,0,0
19078,CNMD,-12.86125848,-3.684959912,2.983102969,0.0,0.0,0,0
19079,LOC102724087,-3.220269132,-1.687181266,1.341386642,2.62613e-05,0.001933952,0,0
19080,LOC105374798,-2.097657906,-1.068779417,-0.554585144,0.00157345,0.026041586,0,0
19081,XKR5,-2.486695114,-1.314229634,-1.774721525,0.00115302,0.021739208,0,0
19082,MIR8067,-4.41804501,-2.143408117,0.158017374,4.15241e-07,8.64488e-05,0,0
19083,LOC105373454,-2.16833041,-1.116584611,3.597338027,3.40797e-07,7.57335e-05,0,0
19084,MACC1,-2.257972386,-1.175027842,7.779404712,4.43878e-08,1.39349e-05,0,0
19085,LEP,-2.845334213,-1.508598121,0.261510644,0.000873993,0.018487533,0,1.0
19086,RN7SKP55,-8.536476775,-3.093640755,-1.668519737,4.51998e-08,1.39681e-05,0,0
19087,HOTAIR,-3.388664424,-1.760716775,0.754629161,0.003554585,0.042478897,0,0
19088,GDPD4,-2.383895813,-1.253321185,1.767040683,2.14424e-05,0.001767033,0,0
19089,NOL4,-3.668428139,-1.875162025,3.264403708,1.50152e-06,0.000249556,0,0
19090,CDH20,-2.190675716,-1.131375939,4.044956061,5.48603e-05,0.003210137,0,0
19091,LINC00824,-8.269627611,-3.047822365,3.397545872,2.94055e-09,1.33045e-06,0,0
19092,UCN3,-3.510303039,-1.811595582,1.410010388,0.000242244,0.008303475,0,0
19093,NELFE,-2.342652077,-1.228142705,-1.96598855,0.001525832,0.025613325,0,0
19094,CXCL14,-2.493728288,-1.31830428,5.627921296,0.000834943,0.017968989,0,0
19095,CPB1,-2.214213455,-1.146794308,-0.733320515,0.003475585,0.042024737,0,0
19096,FOXO6,-2.127988537,-1.08949038,-0.573348403,0.000246827,0.008346772,0,0
19097,LOC105374810,-2.01638602,-1.011771857,4.4732884,0.000827627,0.017908987,0,0
19098,GOLGA6L22,-2.810924293,-1.491044598,-2.434277464,0.004765723,0.0498736,0,0
19099,LOC105371056,-2.674918846,-1.419495123,-0.691311747,1.29448e-06,0.000216968,0,0
19100,SETD6P1,-2.579087607,-1.36686078,-1.921442666,0.001043035,0.020371208,0,0
19101,LOC107986195,-2.403016867,-1.264846775,5.826069695,1.40517e-05,0.001304766,0,0
19102,COL21A1,-2.104024692,-1.073151635,6.30450256,9.20759e-05,0.004516191,0,0
19103,LOC105374991,-2.816889403,-1.494102921,-2.083773988,0.001321638,0.023527766,0,0
19104,A4GNT,-2.066858049,-1.047439309,-0.353063877,0.000724133,0.016537997,0,0
19105,LOC105374960,-2.385022599,-1.254002936,3.652350597,0.000370825,0.010801433,0,0
19106,BMS1P10,-2.294216912,-1.1980018,-1.071798456,0.003378096,0.04136965,0,0
19107,LOC107986105,-2.986958957,-1.578677414,-1.556428433,0.000386475,0.011077825,0,0
19108,LOC105374928,-4.983129964,-2.317052201,2.724642861,1.16613e-09,6.06939e-07,0,0
19109,SOX1-OT,-7.836426989,-2.970196009,1.268963211,1.3222e-07,3.44084e-05,0,0
19110,MIOS-DT,-2.10968998,-1.07703101,3.463719149,2.87016e-05,0.002060015,0,0
19111,LOC105376863,-2.602279538,-1.379775945,0.801171037,2.91274e-06,0.000391893,0,0
19112,SULT1C3,-3.272879815,-1.710560625,3.840468987,5.23701e-07,0.000104624,0,0
19113,LINC00501,-3.834192145,-1.938922638,1.662993305,2.38548e-05,0.001857483,0,0
19114,LOC107985157,-4.253346689,-2.088598454,0.844930533,4.14609e-07,8.64488e-05,0,0
19115,LOC107986438,-2.589123254,-1.372463646,1.637681433,5.32184e-05,0.003132599,0,0
19116,CRNN,-25.09984298,-4.649606434,-0.138728994,4.77958e-09,1.96939e-06,0,0
19117,ALPP,-2.609326133,-1.383677274,0.494462548,0.000707482,0.016312788,0,0
19118,ALPG,-7.947733707,-2.990543535,0.97577505,5.56997e-09,2.20326e-06,0,0
19119,ADGRF5,-2.098111138,-1.0690911,8.644769392,6.80714e-05,0.003739765,0,0
19120,DNAH8,-2.222488414,-1.152175898,2.83003015,4.59984e-05,0.0029241,0,0
19121,OR51E2,-9.580603559,-3.260116546,-0.426035,1.3177e-08,5.01183e-06,0,0
19122,KRBOX1-AS1,-3.168454505,-1.6637793,-2.011580441,0.00010243,0.004846563,0,0
19123,NSG2,-2.241127777,-1.164224906,-0.643765897,0.003262354,0.040579925,0,0
19124,LOC107986338,-12.10734843,-3.597811037,-0.501453247,0.0,1.25387e-09,0,0
19125,OR52N5,-2.369385086,-1.244512692,-0.812074499,0.002177533,0.031965508,0,0
19126,C2CD4B,-2.963369732,-1.567238639,1.414989944,2.05148e-07,5.00915e-05,0,0
19127,LOC105374262,-2.290845073,-1.195879894,-0.499693955,0.000696989,0.016198655,0,0
19128,CLDN9,-2.73882037,-1.453554648,0.439535196,3.13588e-05,0.002176705,0,0
19129,LOC105375760,-5.156730894,-2.36645676,3.558155161,9.45635e-09,3.66721e-06,0,0
19130,LOC105375751,-2.250292482,-1.170112528,7.034512798,6.82296e-08,2.04461e-05,0,0
19131,LOC105375758,-17.67530574,-4.143663266,1.422280151,0.0,2.09496e-09,0,0
19132,LOC107985396,-3.572736152,-1.837029374,-0.990078123,4.96944e-06,0.000585033,0,0
19133,LOC107984041,-2.449691529,-1.292600093,4.869175278,4.95513e-07,0.000100003,0,0
19134,LOC107985323,-2.166247432,-1.115198039,-0.716566406,0.000195761,0.00712819,0,0
19135,SCN3A,-3.136191632,-1.649013716,4.772808047,7.22644e-06,0.000789639,0,0
19136,LOC107986614,-6.215098479,-2.635777251,-1.869212648,4.21657e-05,0.002752321,0,0
19137,HBA2,-2.298249766,-1.200535594,2.822080174,0.003720657,0.043418013,0,0
19138,HBA1,-2.642839628,-1.402088883,0.95181691,0.001144288,0.021682495,0,0
19139,LOC107986623,-3.511031454,-1.811894921,2.21367708,7.11977e-05,0.003879194,0,0
19140,LOC105374397,-3.302221592,-1.723436934,1.668984153,5.30258e-09,2.14029e-06,0,0
19141,LOC105374396,-3.604201317,-1.849679597,-0.070390851,3.9101e-09,1.68117e-06,0,0
19142,LINC01983,-2.69152229,-1.428422373,1.25457501,0.00032019,0.009727673,0,0
19143,C11orf91,-2.26498562,-1.179501891,1.153547762,9.19035e-07,0.000168303,0,0
19144,LOC105375836,-23.61015747,-4.561335759,0.509564514,0.0,1.83905e-10,0,0
19145,LINC00626,-4.279099428,-2.097307201,1.614799825,1.80681e-09,8.50836e-07,0,0
19146,LOC105374536,-2.276851364,-1.187040114,3.54218833,0.000300329,0.009310214,0,0
19147,LINC01950,-2.129744645,-1.090680463,2.553839491,0.000156484,0.006249015,0,0
19148,LOC107985278,-2.359423834,-1.2384346,0.97969666,1.42442e-05,0.001316456,0,0
19149,SALRNA1,-2.257896455,-1.174979327,-0.363835039,0.0004839,0.012794892,0,0
19150,LOC107985215,-2.754923294,-1.46201215,-0.433560395,0.001655799,0.026778064,0,0
19151,SCGN,-3.253958632,-1.70219591,-0.429947648,0.001410202,0.024508764,0,0
19152,PSORS1C3,-2.080857015,-1.057177835,-0.748764727,0.004555229,0.048699095,0,0
19153,LRRIQ4,-4.464958386,-2.158646729,2.115697883,0.0,2.81461e-09,0,0
19154,RALYL,-5.660769959,-2.500998297,4.121285808,4.75903e-09,1.96939e-06,0,0
19155,UNC5D,-3.25702055,-1.703552822,4.310653591,0.00035682,0.010507106,0,0
19156,NBPF22P,-3.824228271,-1.935168642,1.288013694,0.002301645,0.033130962,0,0
19157,PPIGP1,-5.138872834,-2.361451952,-1.756508259,0.000678738,0.015945384,0,0
19158,LINC02725,-2.80492029,-1.487959773,2.831461593,4.13534e-05,0.002717237,0,0
19159,UNC80,-2.258908923,-1.175626104,2.166278981,0.004163453,0.046469959,0,0
19160,LINC02782,-16.4209823,-4.037468527,-1.702505703,9.89191e-06,0.000998174,0,0
19161,MT1A,-3.16377787,-1.661648311,-0.030268652,0.000275205,0.008793218,0,0
19162,CERKL,-4.643021386,-2.215063926,4.434742382,0.0,4.53715e-09,0,0
19163,LOC107984223,-3.9355999,-1.976583561,-1.196324553,0.000358464,0.010518831,0,0
19164,TGM1,-3.338063381,-1.739011348,-1.591070607,0.000311405,0.009548801,0,0
19165,ZPLD1,-2.272495843,-1.184277655,0.644694826,0.001427359,0.024676848,0,0
19166,LOC105370397,-7.414080654,-2.89026781,-0.18217338,0.0,5.91957e-10,0,0
19167,HOXB-AS4,-7.876036188,-2.97746974,0.727342029,2.70715e-06,0.000377056,0,0
19168,HOXB-AS3,-3.502062322,-1.808204758,0.229280957,2.12805e-07,5.13274e-05,0,0
19169,LINC01344,-2.715222816,-1.441070593,3.066439249,2.61644e-05,0.001933952,0,0
19170,LINC01331,-3.229290008,-1.691217009,2.342810994,0.000100151,0.004772983,0,0
19171,LOC107985470,-2.02289195,-1.016419262,-1.171225802,0.000797159,0.017537494,0,0
19172,C12orf56,-9.574210416,-3.259153513,5.113270235,0.0,0.0,0,0
19173,LOC107986777,-2.220427111,-1.150837213,1.536890256,0.002910567,0.038053991,0,0
19174,LOC105371618,-2.401802584,-1.264117574,-0.073905737,0.000648452,0.015545555,0,0
19175,NREP-AS1,-2.722149951,-1.444746541,2.40786822,2.72809e-08,9.81023e-06,0,0
19176,LOC107986712,-2.208193474,-1.142866582,3.239619688,0.000603247,0.014853867,0,0
19177,MYRFL,-2.662141161,-1.412587072,3.688280579,5.12721e-06,0.000600035,0,0
19178,HPCAL4,-4.55252699,-2.18666757,1.456027373,1.14082e-09,6.06939e-07,0,0
19179,GOLGA2P6,-2.036549912,-1.026127172,-0.535303075,0.004389973,0.047837398,0,0
19180,MIR381HG,-2.770570336,-1.470182993,0.100688998,0.000127677,0.005537694,0,0
19181,PROKR1,-2.047702531,-1.034006151,-0.619400701,0.001367666,0.024044172,0,0
19182,GLRA3,-2.193629948,-1.133320173,3.356889052,0.001600675,0.026250546,0,0
19183,NPTX2,-2.460219046,-1.298786772,1.352315429,0.000290881,0.009142949,0,0
19184,CNTNAP2,-5.469811688,-2.451491165,4.913809605,1.47894e-10,9.43565e-08,0,0
19185,LINC00342,-2.463705754,-1.300829962,7.582395438,1.19727e-06,0.000204927,0,0
19186,LOC105369406,-3.161447466,-1.660585246,-0.598969944,0.00015053,0.006071754,0,0
19187,LOC105369405,-2.814035238,-1.492640394,-1.353664818,0.002699255,0.036323093,0,0
19188,LOC107984471,-9.564191989,-3.257643091,4.069783071,0.0,3.18861e-09,0,0
19189,LOC107984424,-3.715382248,-1.893510646,3.200431125,2.89833e-06,0.000391893,0,0
19190,GSDMC,-2.341459887,-1.227408323,2.311381291,0.000294329,0.009181762,0,0
19191,LINC01511,-3.916143054,-1.969433466,-2.402352365,0.00241495,0.033922506,0,0
19192,CYMP,-20.16187092,-4.333557615,-0.404686695,0.0,3.55882e-10,0,0
19193,LINC01593,-2.81550653,-1.493394497,-1.805432512,0.001449497,0.024807746,0,0
19194,LINC01594,-2.632400036,-1.396378747,1.422251313,3.91185e-05,0.002596258,0,0
19195,LINC01580,-5.017916156,-2.327088365,-2.213238984,2.08489e-06,0.000312682,0,0
19196,LINC01579,-11.31028919,-3.499563912,-1.071140404,2.0493e-10,1.19209e-07,0,0
19197,ESRRG,-2.395455163,-1.26029981,5.813756922,1.17683e-05,0.001163767,0,0
19198,VIPR2,-2.957343505,-1.564301827,2.971175754,5.22389e-06,0.000607754,0,0
19199,LOC105369526,-3.03189825,-1.600221338,2.268687767,0.004364211,0.047684679,0,0
19200,LOC105370511,-2.380471516,-1.251247366,-2.174122905,0.003918798,0.044775268,0,0
19201,CD81-AS1,-2.699344009,-1.432608848,4.443699804,8.51561e-08,2.47679e-05,0,0
19202,LOC107986973,-5.669387281,-2.503192824,2.178344252,0.0,0.0,0,0
19203,LOC107986976,-3.609546429,-1.851817561,2.852680113,0.0,4.67841e-08,0,0
19204,PRMT8,-2.201548798,-1.138518822,4.240651558,0.001256214,0.022877908,0,0
19205,LOC105371825,-2.507469439,-1.326232118,-0.748232027,0.000591005,0.014629417,0,0
19206,LOC107986955,-2.652110876,-1.407141091,-0.493243615,0.000281187,0.008917736,0,0
19207,AMY1A,-3.744024575,-1.904589904,-1.224308702,0.000281807,0.008917736,0,0
19208,AMY1C,-3.379607188,-1.756855572,-1.286199708,0.000262157,0.008513854,0,0
19209,CDC20B,-5.86108765,-2.551168412,2.806256424,0.0,7.2831e-09,0,0
19210,LOC100507065,-3.471843778,-1.795702032,2.720427671,4.97561e-05,0.003009407,0,0
19211,FAXC,-2.223320627,-1.152716016,5.279729345,8.54226e-06,0.000889204,0,0
19212,MPV17L,-2.097098288,-1.06839448,-0.672189802,0.001414568,0.024542244,0,0
19213,LINC02303,-5.744743438,-2.522242463,-0.691745847,1.39969e-10,9.2277e-08,0,0
19214,LOC105371114,-2.045366021,-1.032359038,5.850962686,0.001684741,0.026980415,0,0
19215,MFSD6L,-2.096768994,-1.068167925,1.041502716,0.00046765,0.012498896,0,0
19216,TMPRSS11BNL,-8.878900271,-3.150380997,-0.111562086,0.000382311,0.011022373,0,0
19217,CD207,-2.017839102,-1.012811142,2.737794598,0.00227326,0.032841879,0,0
19218,POU3F2,-5.675384174,-2.504718053,-0.231472395,7.18941e-08,2.12227e-05,0,0
19219,LOC107984625,-2.045535214,-1.032478373,0.759139216,0.001000363,0.01992466,0,0
19220,DLEU1,-2.012293573,-1.008840795,8.011056051,0.000224476,0.00785785,0,0
19221,PROK2,-4.047697142,-2.017101348,0.677026339,1.92599e-06,0.000297596,0,0
19222,LINC02207,-3.732438495,-1.900118487,1.033480393,1.81704e-10,1.08901e-07,0,0
19223,LINC02159,-2.206541594,-1.141786943,1.016202584,0.00143044,0.024686951,0,0
19224,KRT4,-5.068736216,-2.341626086,4.034717258,1.73812e-06,0.000281775,0,0
19225,LINC02188,-2.910486325,-1.541260239,-0.012893479,0.001328714,0.023590035,0,0
19226,LINC02189,-3.814620333,-1.931539474,-2.017677123,0.001095329,0.021091391,0,0
19227,LINC02113,-3.965345016,-1.987446397,-1.067739864,3.1305e-05,0.002176705,0,0
19228,LOC107984568,-2.222415908,-1.152128831,2.632912294,0.000107698,0.004988423,0,0
19229,LINC02133,-3.889079967,-1.9594289,0.887325685,2.08687e-06,0.000312682,0,0
19230,FCN2,-3.083458785,-1.624549563,-0.964637852,2.41327e-05,0.001857964,0,0
19231,LOC107984512,-2.740368428,-1.454369869,0.077030235,0.003582974,0.042607184,0,0
19232,LOC107984527,-3.097563747,-1.631133973,1.178805988,2.91846e-05,0.002068866,0,0
19233,SIX6,-2.770960197,-1.470385988,-1.146993732,0.000541166,0.013836349,0,0
19234,MAPK4,-3.468455551,-1.794293396,3.163125554,2.1973e-07,5.1736e-05,0,0
19235,TMC5,-2.039488124,-1.028207107,7.930102888,0.000138865,0.005821507,0,0
19236,LOC105373938,-3.32550152,-1.73357193,-1.030071073,7.85786e-06,0.000831084,0,0
